global_step,epoch,lr,train_loss,val_loss
114,0,0.00017099999999999998,5.52093935,
115,0,0.0001725,5.51339436,
116,0,0.000174,5.42949677,
117,0,0.00017549999999999998,5.32301283,
118,0,0.00017699999999999997,5.36527777,
119,0,0.00017849999999999997,5.36954117,
120,0,0.00017999999999999998,5.30563307,
121,0,0.0001815,5.30586720,
122,0,0.00018299999999999998,5.26167202,
123,0,0.00018449999999999999,5.18089294,
124,0,0.000186,5.23114157,
125,0,0.0001875,5.22418594,
126,0,0.00018899999999999996,5.13799047,
127,0,0.00019049999999999997,5.05248260,
128,0,0.00019199999999999998,5.09897423,
129,0,0.0001935,4.99468184,
130,0,0.000195,4.91427565,
131,0,0.00019649999999999998,4.96496677,
132,0,0.000198,4.92317581,
133,0,0.0001995,4.92635918,
134,0,0.000201,4.85825157,
135,0,0.00020249999999999996,4.83566618,
136,0,0.00020399999999999997,4.83895397,
137,0,0.00020549999999999998,4.71908951,
138,0,0.000207,4.57193327,
139,0,0.00020849999999999997,4.62114334,
140,0,0.00020999999999999998,4.70686722,
141,0,0.0002115,4.51754093,
142,0,0.000213,4.55490875,
143,0,0.00021449999999999996,4.50667000,
144,0,0.00021599999999999996,4.53388548,
145,0,0.00021749999999999997,4.40738487,
146,0,0.00021899999999999998,4.49851227,
147,0,0.00022049999999999997,4.38925314,
148,0,0.00022199999999999998,4.43345547,
149,0,0.00022349999999999998,4.28664017,
150,0,0.000225,4.26603556,
151,0,0.00022649999999999998,4.29959059,
152,0,0.00022799999999999999,4.23145390,
153,0,0.0002295,4.30246496,
154,0,0.00023099999999999998,4.15863991,
155,0,0.00023249999999999996,4.15858650,
156,0,0.00023399999999999997,4.14129400,
157,0,0.00023549999999999998,4.25020885,
158,0,0.000237,4.13491583,
159,0,0.00023849999999999997,4.05176592,
160,0,0.00023999999999999998,3.99525189,
161,0,0.0002415,4.01582909,
162,0,0.000243,3.91658282,
163,0,0.0002445,3.92743492,
164,0,0.00024599999999999996,3.80061674,
165,0,0.0002475,3.91039705,
166,0,0.000249,3.80435848,
167,0,0.0002505,3.74547148,
168,0,0.00025199999999999995,3.80680990,
169,0,0.0002535,3.78975821,
170,0,0.00025499999999999996,3.66272092,
171,0,0.0002565,3.72358179,
172,0,0.000258,3.66541004,
173,0,0.00025949999999999997,3.59028482,
174,0,0.000261,3.49612021,
175,0,0.0002625,3.51038599,
176,0,0.00026399999999999997,3.38790941,
177,0,0.00026549999999999995,3.47156668,
178,0,0.000267,3.49346352,
179,0,0.00026849999999999997,3.45728111,
180,0,0.00026999999999999995,3.41849732,
181,0,0.0002715,3.45412016,
182,0,0.00027299999999999997,3.36888766,
183,0,0.0002745,3.35032988,
184,0,0.000276,3.21209502,
185,0,0.00027749999999999997,3.21283793,
186,0,0.00027899999999999995,3.20137548,
187,0,0.0002805,3.21840668,
188,0,0.00028199999999999997,3.19949675,
189,0,0.00028349999999999995,3.11544132,
190,0,0.000285,3.21566868,
191,0,0.00028649999999999997,3.08236837,
192,0,0.000288,3.10140228,
193,0,0.0002895,3.02840471,
194,0,0.00029099999999999997,3.11727452,
195,0,0.0002925,3.06668329,
196,0,0.000294,3.05536318,
197,0,0.00029549999999999997,2.90577793,
198,0,0.00029699999999999996,2.89018965,
199,0,0.0002985,2.89827585,
200,0,0.0003,2.99225640,
200,0,0.0003,,3.31338758
201,0,0.00029999999811910203,2.85807395,
202,0,0.00029999999247640814,2.84762669,
203,0,0.0002999999830719186,2.86322212,
204,0,0.0002999999699056335,2.80171776,
205,0,0.0002999999529775533,2.86501598,
206,0,0.0002999999322876783,2.88058138,
207,0,0.00029999990783600907,2.80120063,
208,0,0.00029999987962254625,2.76242971,
209,0,0.0002999998476472905,2.73328590,
210,0,0.0002999998119102426,2.67555809,
211,0,0.00029999977241140357,2.65444756,
212,0,0.00029999972915077433,2.69316673,
213,0,0.0002999996821283559,2.66471720,
214,0,0.00029999963134414955,2.63023114,
215,0,0.0002999995767981565,2.51480865,
216,0,0.00029999951849037814,2.56239414,
217,0,0.000299999456420816,2.56269360,
218,0,0.0002999993905894715,2.53852701,
219,0,0.0002999993209963463,2.56030965,
220,0,0.0002999992476414423,2.54295921,
221,0,0.0002999991705247612,2.55848122,
222,0,0.00029999908964630504,2.43751478,
223,0,0.0002999990050060757,2.51171899,
224,0,0.0002999989166040754,2.43901396,
225,0,0.0002999988244403064,2.54424429,
226,0,0.0002999987285147709,2.49425220,
227,0,0.0002999986288274714,2.44436455,
228,0,0.0002999985253784103,2.42958879,
229,0,0.00029999841816759034,2.43154430,
230,0,0.00029999830719501405,2.43684268,
231,0,0.0002999981924606844,2.29851198,
232,0,0.000299998073964604,2.33548355,
233,0,0.0002999979517067761,2.26630759,
234,0,0.0002999978256872036,2.32297015,
235,0,0.0002999976959058897,2.31635809,
236,0,0.00029999756236283765,2.21848249,
237,0,0.00029999742505805086,2.17020965,
238,0,0.00029999728399153264,2.28868151,
239,0,0.00029999713916328667,2.31053543,
240,0,0.00029999699057331653,2.21418762,
241,0,0.00029999683822162586,2.21091962,
242,0,0.0002999966821082186,2.19043565,
243,0,0.00029999652223309864,2.20647860,
244,0,0.00029999635859626994,2.23872852,
245,0,0.0002999961911977367,2.20506811,
246,0,0.000299996020037503,2.12381554,
247,0,0.0002999958451155732,2.16670990,
248,0,0.0002999956664319517,2.12835813,
249,0,0.0002999954839866429,2.16760182,
250,0,0.0002999952977796514,2.07144928,
251,0,0.00029999510781098204,2.02682137,
252,0,0.0002999949140806393,2.19663334,
253,0,0.00029999471658862827,1.96617436,
254,0,0.0002999945153349538,2.18095112,
255,0,0.00029999431031962095,2.02852368,
256,0,0.00029999410154263486,2.00136685,
257,0,0.00029999388900400076,1.97325420,
258,0,0.00029999367270372397,2.01014781,
259,0,0.00029999345264180996,2.10790634,
260,0,0.0002999932288182643,1.95471847,
261,0,0.0002999930012330924,1.97330856,
262,0,0.0002999927698863002,1.99586928,
263,0,0.0002999925347778933,1.92170906,
264,0,0.00029999229590787775,1.96613336,
265,0,0.00029999205327625945,1.92747903,
266,0,0.00029999180688304453,1.95466602,
267,0,0.00029999155672823913,1.98788214,
268,0,0.0002999913028118496,1.90997398,
269,0,0.00029999104513388225,1.91195142,
